Subject,Start date,Start time,End date,End time

Submission Folder Special Access: Test 1 Part 2 - Due,3/4/2021,9:00PM,3/4/2021,9:00PM
Quiz3-5eCh3 - Availability Ends,3/7/2021,11:59PM,3/7/2021,11:59PM
Quiz3-5eCh3 - Due,3/7/2021,11:59PM,3/7/2021,11:59PM
Module 5 - Discussion - Availability Ends,3/9/2021,11:59PM,3/9/2021,11:59PM
Discussion 4 - Availability Ends,3/21/2021,11:59PM,3/21/2021,11:59PM
Milestone 1 - Due,3/21/2021,11:59PM,3/21/2021,11:59PM
Quiz 7 Graphs - Availability Ends,3/21/2021,11:59PM,3/21/2021,11:59PM
Test1 - Requires Respondus LockDown Browser + Webcam - Due,3/21/2021,11:59PM,3/21/2021,11:59PM
Test1 - Requires Respondus LockDown Browser + Webcam - Availability Ends,3/21/2021,11:59PM,3/21/2021,11:59PM
Module 5 - JavaScript - Available,3/22/2021,12:00AM,3/22/2021,12:00AM
Module 6 - Discussion - Availability Ends,3/23/2021,11:59PM,3/23/2021,11:59PM
Quiz4-5eCh4-5 - Availability Ends,3/28/2021,11:59PM,3/28/2021,11:59PM
Quiz4-5eCh4-5 - Due,3/28/2021,11:59PM,3/28/2021,11:59PM
Assignment 3 - Due,3/28/2021,11:59PM,3/28/2021,11:59PM
Quiz 8 - Combinatorics - Availability Ends,3/28/2021,11:59PM,3/28/2021,11:59PM
TERM PROJECT - Due,3/31/2021,11:59PM,3/31/2021,11:59PM
Discussion 5 - Availability Ends,4/4/2021,11:59PM,4/4/2021,11:59PM
Quiz 9 Proofs - Availability Ends,4/4/2021,11:59PM,4/4/2021,11:59PM
Module 7 - Discussion - Availability Ends,4/6/2021,11:59PM,4/6/2021,11:59PM
Quiz5-5eCh6 - Availability Ends,4/11/2021,11:59PM,4/11/2021,11:59PM
Quiz5-5eCh6 - Due,4/11/2021,11:59PM,4/11/2021,11:59PM
Module 8 - Discussion - Availability Ends,4/13/2021,11:59PM,4/13/2021,11:59PM
Quz6-5eCh79 & 13 - Availability Ends,4/18/2021,11:59PM,4/18/2021,11:59PM
Discussion 6 - Availability Ends,4/18/2021,11:59PM,4/18/2021,11:59PM
Quz6-5eCh79 & 13 - Due,4/18/2021,11:59PM,4/18/2021,11:59PM
Milestone 2 - Due,4/18/2021,11:59PM,4/18/2021,11:59PM
Module 9 - Discussion - Availability Ends,4/20/2021,11:59PM,4/20/2021,11:59PM
Quiz7-5eCh12 - Availability Ends,4/25/2021,11:59PM,4/25/2021,11:59PM
Quiz7-5eCh12 - Due,4/25/2021,11:59PM,4/25/2021,11:59PM
Project part 2 - Due,4/28/2021,11:59PM,4/28/2021,11:59PM
Quiz8-5eCh8 10 & 11 - Availability Ends,5/2/2021,11:59PM,5/2/2021,11:59PM
Discussion 7 - Bonus Discussion - Availability Ends,5/2/2021,11:59PM,5/2/2021,11:59PM
Quiz8-5eCh8 10 & 11 - Due,5/2/2021,11:59PM,5/2/2021,11:59PM
Research Paper - Due,5/2/2021,11:59PM,5/2/2021,11:59PM
Test 3 - Availability Ends,5/2/2021,11:59PM,5/2/2021,11:59PM
